Training Epoch --- Training Accuracy --- Validation Accuracy --- Validation Loss
162	0.682	0.678	1.060
163	0.683	0.678	1.056
164	0.683	0.679	1.052
165	0.684	0.681	1.048
166	0.684	0.680	1.045
167	0.685	0.681	1.041
168	0.685	0.684	1.037
169	0.686	0.684	1.033
170	0.686	0.685	1.030
171	0.687	0.684	1.026
172	0.687	0.682	1.023
173	0.687	0.682	1.019
174	0.688	0.682	1.016
175	0.688	0.682	1.013
176	0.689	0.683	1.009
177	0.689	0.683	1.006
178	0.690	0.683	1.003
179	0.691	0.682	1.000
180	0.691	0.683	0.997
181	0.692	0.681	0.994
182	0.692	0.681	0.991
183	0.693	0.682	0.988
184	0.694	0.682	0.985
185	0.694	0.682	0.982
186	0.695	0.683	0.979
187	0.695	0.681	0.976
188	0.696	0.682	0.973
189	0.696	0.683	0.970
190	0.696	0.683	0.968
191	0.697	0.684	0.965
192	0.698	0.683	0.962
193	0.698	0.684	0.959
194	0.699	0.684	0.957
195	0.699	0.684	0.954
196	0.699	0.685	0.952
197	0.700	0.684	0.949
198	0.700	0.685	0.947
199	0.700	0.685	0.944
200	0.700	0.684	0.942
201	0.701	0.687	0.940
202	0.701	0.687	0.937
203	0.701	0.687	0.935
204	0.702	0.688	0.933
205	0.702	0.686	0.930
206	0.702	0.685	0.928
207	0.703	0.686	0.926
208	0.703	0.683	0.924
209	0.703	0.684	0.921
210	0.704	0.684	0.919
211	0.704	0.684	0.917
212	0.705	0.685	0.915
213	0.705	0.685	0.913
214	0.706	0.685	0.911
215	0.706	0.686	0.909
216	0.706	0.686	0.907
217	0.706	0.687	0.905
218	0.707	0.687	0.903
219	0.707	0.687	0.901
220	0.707	0.687	0.899
221	0.708	0.690	0.897
222	0.708	0.691	0.895
223	0.708	0.691	0.893
224	0.709	0.691	0.891
225	0.709	0.692	0.889
226	0.709	0.693	0.887
227	0.710	0.691	0.885
228	0.710	0.691	0.883
229	0.710	0.692	0.881
230	0.711	0.694	0.880
231	0.711	0.694	0.878
232	0.712	0.694	0.876
233	0.713	0.694	0.874
234	0.713	0.695	0.872
235	0.713	0.694	0.871
236	0.714	0.694	0.869
237	0.714	0.695	0.867
238	0.714	0.696	0.866
239	0.714	0.697	0.864
240	0.715	0.697	0.862
241	0.715	0.697	0.861
242	0.716	0.697	0.859
243	0.716	0.698	0.858
244	0.715	0.699	0.856
245	0.716	0.699	0.854
246	0.716	0.699	0.853
247	0.716	0.699	0.851
248	0.717	0.699	0.850
249	0.717	0.700	0.848
250	0.717	0.700	0.847
251	0.718	0.700	0.845
252	0.718	0.698	0.844
253	0.718	0.698	0.843
254	0.718	0.698	0.841
255	0.718	0.699	0.840
256	0.719	0.699	0.838
257	0.719	0.699	0.837
258	0.719	0.700	0.836
259	0.720	0.700	0.834
260	0.720	0.700	0.833
261	0.720	0.699	0.831
262	0.720	0.697	0.830
263	0.720	0.697	0.829
264	0.721	0.697	0.827
265	0.721	0.696	0.826
266	0.721	0.696	0.825
